term,weight
false flag,0.95
deep fake video,0.93
staged event,0.93
hoax confirmed,0.92
proven hoax,0.92
coordinated psyop,0.91
fabricated evidence,0.91
manufactured crisis,0.91
deep state plot,0.90
fake pandemic,0.90
lizard people,0.90
satanic agenda,0.90
scripted narrative,0.90
chemtrail proof,0.89
crisis actors,0.89
flat earth proof,0.89
illuminati exposed,0.89
population reduction plan,0.89
fake shooting staged,0.88
globalist takeover,0.88
microchip implant plan,0.88
mind control waves,0.88
new world order confirmed,0.88
child trafficking ring cover,0.87
rigged election proof,0.87
secret society controls,0.87
shadow government revealed,0.87
world domination plot,0.87
election fraud proof,0.86
stolen election confirmed,0.86
vote machine hacked confirmed,0.86
alien disclosure suppressed,0.85
clone army secret,0.85
death panels confirmed,0.85
depopulation agenda,0.85
fabricated quote,0.85
fake document,0.85
forced vaccine chip,0.85
interdimensional beings confirmed,0.85
invented quote,0.85
manipulated video,0.85
outright fabrication,0.85
source fabricated,0.85
bombshell,0.85
government cover-up,0.84
psyop,0.84
urgent share before deleted,0.84
fake news outlet,0.83
fake quote,0.83
manipulated quote,0.83
plandemic,0.83
scamdemic,0.83
click here now,0.83
controlled opposition,0.82
doctored clip,0.82
doctored screenshot,0.82
engineered event,0.82
fake caption,0.82
fake photo,0.82
manipulated image,0.82
manipulated transcript,0.82
mass brainwashing,0.82
media brainwash,0.82
photo manipulation,0.82
propaganda machine,0.82
closed-door emergency meeting,0.82
share this before midnight,0.82
false narrative,0.81
manufactured consent,0.81
narrative manipulation,0.81
orchestrated event,0.81
suppressed cure,0.81
banned cure,0.80
cabal exposed,0.80
crisis fabricated,0.80
deliberately false,0.80
doctored image,0.80
genocide agenda,0.80
globalist puppet,0.80
hoax,0.80
invented statistic,0.80
made-up story,0.80
share before it disappears,0.80
conspiracy,0.80
fake,0.80
insider,0.80
leaked,0.80
scam,0.80
suppressed,0.80
undeniable,0.80
censored truth,0.79
elite puppet,0.79
mainstream lie,0.79
media blackout,0.79
silenced whistleblower,0.79
banned research,0.78
blatant lie,0.78
